time,orderId,event,publishTimeTaken,relayDelay
1570624385875,LTFGQM6STZYX,PATCH,1087,87761
1570624386005,LTFGQMNCGI56,PATCH,980,81486
1570624386006,LT4ANE8K3S9EM,PATCH,1131,87297
1570624386012,LTFGQM3184J2,PATCH,986,81457
1570624387038,LTFGQMJBRXBX,PATCH,653,81760
1570624387165,LTFGQLLIELE7,PATCH,773,80985
1570624387162,LT4ANEB3L2OSU,PATCH,766,80181
1570624393363,LTFGQMSVE84U,PATCH,1674,70342
1570624392783,LT4ANE8QA6G14,PATCH,1073,68997
1570624393867,LTFGQMUEVMFS,UPDATE,2095,68354
1570624392782,LT4ANE95EPXCK,PATCH,1123,70869
1570624388218,LTFGQK272Y0L,PATCH,1172,77428
1570624385782,LTFGQMPSWT5D,PATCH,1047,89136
1570624387852,LT4ANE9C3DIFY,PATCH,1451,80291
1570624388182,LT16YHOA7PLDJ4,PATCH,1071,79201
1570624388306,LTFGQMTIXFCT,PATCH,1320,75754
1570624388271,LT4ANDX3S6RDS,PATCH,1864,79954
1570624387005,LT4ANEC7NQ87G,PATCH,166,74841
1570624387005,LT4ANE8YY8V4O,PATCH,510,74373
1570624383846,LT4ANDZEHW9W6,PATCH,1434,100554
1570624383846,LTFGQMEL1APP,PATCH,1426,100272
1570624383892,LTFGQMU3A9IP,CREATE,1421,98361
1570624383978,LT4ANE9DPQVX8,PATCH,1182,89771
1570624384013,LTFGQMHAV1WF,PATCH,1171,88996
1570624384077,LTFGQLI7YX39,UPDATE,1227,88845
1570624384078,LTFGQMU5GBZK,CREATE,1532,94905
1570624384269,LTFGQMA4EAB8,PATCH,1376,88340
1570624383839,LTFGQMU1EN0U,CREATE,1440,101465
1570624384012,LTFGQMU8T04J,CREATE,1211,89211
1570624384269,LTFGQICIKBJ6,UPDATE,1754,95682
1570624384269,LT4ANEB8VX4WK,PATCH,1375,88292
1570624388306,LT4ANE8K3S9EM,PATCH,1151,81295
1570624388532,LTFGQMP8XZ2B,PATCH,2118,79698
1570624388430,LTFGQMPCJVO9,PATCH,2017,79707
1570624388643,LTFGQMONQENW,PATCH,2221,78914
1570624389106,LTFGQMUIGAH7,CREATE,2677,78101
1570624388810,LT4ANDDTE2GQU,PATCH,1040,79849
1570624389074,LTFGQKKJL23T,PATCH,891,81194
1570624384358,LTFGQM9WONNO,PATCH,514,95691
1570624384496,LT4ANEBOYB1MK,PATCH,1852,94917
1570624384551,LTFGQMHSPQLF,PATCH,1865,94075
1570624384666,LT16YHOA7PLDJ4,PATCH,326,94226
1570624384626,LTFGQMSW718C,PATCH,793,100712
1570624386025,LTFGQM6SCKHB,PATCH,1009,82192
1570624384551,LTFGQMCXK2NA,PATCH,1864,93954
1570624386937,LT4ANDZUTKR84,PATCH,449,75370
1570624386987,LTFGQMUIURZZ,CREATE,497,75305
1570624386991,LTFGQMG44UDI,UPDATE,620,81896
1570624383895,LTFGQMQUWEXZ,PATCH,1122,89991
1570624383895,LTFGQMU86C91,CREATE,1123,90150
1570624383978,LTFGQLGIPI0H,UPDATE,1147,89076
1570624384012,LTFGQM4I6FO2,PATCH,1212,89670
1570624383978,LTFGQMJCI7N6,PATCH,1183,89864
1570624384194,LTFGQJ43UL7U,PATCH,1677,95557
1570624391125,LTFGQK272Y0L,PATCH,1759,77728
1570624391180,LT4ANE8K3S9EM,PATCH,1547,75049
1570624391325,LT4ANE8C0UAK2,PATCH,2030,78048
1570624391325,LTFGQMTIXFCT,PATCH,2021,78038
1570624391244,LTFGQMKJPXPI,PATCH,1565,73811
1570624384611,LT4ANE95V9ZP6,UPDATE,1880,92154
1570624384593,LT4ANECDV26JK,CREATE,1880,93318
1570624384637,LT16YHUUAO5ADC,UPDATE,371,92206
1570624386103,LTFGQMCRUAV0,PATCH,1185,85797
1570624386884,LTFGQM4I6FO2,PATCH,522,81891
1570624391438,LTFGQMTCHBVL,PATCH,228,74137
1570624391483,LT4ANDZUTKR84,PATCH,68,76305
1570624385784,LTFGQMMEMF15,PATCH,1047,88543
1570624386979,LTFGQMOQ4X7T,PATCH,486,74899
1570624386965,LTFGQMQN8LJU,UPDATE,592,81834
1570624386946,LT4ANE8C0UAK2,PATCH,454,75294
1570624388182,LTFGQKKJL23T,PATCH,969,80926
1570624388304,LTFGQM9LN1D1,PATCH,1324,81096
